IncomingPassengers,Line,NameOfStation,OutgoingPassengers,Quarter,Year,global_id
1913498,Арбатско-Покровская линия,Митино,1829031,I квартал,2021,1138975996
1236714,Арбатско-Покровская линия,Волоколамская,1222309,I квартал,2021,1138975997
1938816,Арбатско-Покровская линия,Строгино,1903731,I квартал,2021,1138975999
1849616,Арбатско-Покровская линия,Крылатское,1818208,I квартал,2021,1138976000
2324687,Арбатско-Покровская линия,Площадь Революции,2319343,I квартал,2021,1138976008
3757697,Арбатско-Покровская линия,Бауманская,3919091,I квартал,2021,1138976010
2554914,Арбатско-Покровская линия,Первомайская,2542396,I квартал,2021,1138976015
2093304,Замоскворецкая линия,Беломорская,2007519,I квартал,2021,1138976018
1976604,Замоскворецкая линия,Речной вокзал,1932752,I квартал,2021,1138976019
2798329,Замоскворецкая линия,Водный стадион,2787327,I квартал,2021,1138976020
3431294,Замоскворецкая линия,Войковская,3442260,I квартал,2021,1138976021
2538480,Замоскворецкая линия,Аэропорт,2583879,I квартал,2021,1138976023
1146154,Замоскворецкая линия,Технопарк,1162163,I квартал,2021,1138976030
3580149,Замоскворецкая линия,Коломенская,3599846,I квартал,2021,1138976031
1316075,Замоскворецкая линия,Красногвардейская,1301729,I квартал,2021,1138976037
3228211,Сокольническая линия,Преображенская площадь,3269102,I квартал,2021,1138976041
1648441,Сокольническая линия,Красносельская,1701806,I квартал,2021,1138976043
1305311,Сокольническая линия,Спортивная,1457156,I квартал,2021,1138976052
2043642,Сокольническая линия,Университет,2064788,I квартал,2021,1138976054
469635,Сокольническая линия,Филатов луг,445592,I квартал,2021,1138976060
188614,Сокольническая линия,Прокшино,182256,I квартал,2021,1138976061
847290,Сокольническая линия,Коммунарка,836196,I квартал,2021,1138976063
0,Кольцевая линия,Новослободская,0,I квартал,2021,1138976067
1626734,Кольцевая линия,Добрынинская,1689539,I квартал,2021,1138976073
1333667,Арбатско-Покровская линия,Пятницкое шоссе,1273524,I квартал,2021,1138976078
1928256,Калужско-Рижская линия,Свиблово,1946306,I квартал,2021,1138976079
1375188,Арбатско-Покровская линия,Мякинино,1316352,I квартал,2021,1138976083
5529818,Калужско-Рижская линия,ВДНХ,5303556,I квартал,2021,1138976084
